BCHAIN-ATRCT,BCHAIN-MWNUS,BCHAIN-DIFF,BCHAIN-MWNTD,BCHAIN-MWTRV,BCHAIN-AVBLS,BCHAIN-ETRAV,BCHAIN-BLCHS,BCHAIN-TOUTV,BCHAIN-NADDU,BCHAIN-NTRBL,BCHAIN-NTREP,BCHAIN-HRATE,BCHAIN-MIREV,BCHAIN-NTRAT,BCHAIN-CPTRA,BCHAIN-TRVOU,BCHAIN-CPTRV,BCHAIN-ETRVU,BCHAIN-TRFUS,BCHAIN-NTRAN,BCHAIN-TRFEE,BCHAIN-TOTBC,BCHAIN-MKTCP,BCHAIN-MKPRU
11.55,23667203,3.29061E+12,41871,45672.92101,0.744636688,149873.0758,160971.8041,1039106.576,418368,1326.680556,182145,23555075.18,14672757,304709779,78.38429623,1157902505,1.225730744,1221695123,301935.721,191042,37.04036657,16919487.5,1.3792E+11,8151.531667
7.3,23645174,3.29061E+12,43019,79769.42308,0.892580943,154955.2325,160864.5764,1602213.516,419994,1241.392405,180767,25845151.93,18172079.5,304518737,95.01379484,1013634518,1.313718972,1418568667,555473.2206,196140,60.67628875,16917687.5,1.54876E+11,9154.7
10.825,23624840,3.29061E+12,43309,63539.97288,0.947042919,118997.9298,160723.5486,1019469.317,426764,1170.149068,176548,26335882.66,18489655.05,304322597,99.72611703,1145556675,1.719330613,1092739346,307329.883,188394,33.46783473,16915712.5,1.55334E+11,9182.843333
11.925,23606621,3.29061E+12,31746,49444.16947,1.013150765,104178.0789,160571.0747,784076.1043,349040,986.1699346,145142,25027267.37,18756523.7,304134203,126.2912157,1205268902,1.873820678,1016923552,386652.6681,150884,39.61038377,16913700,1.65101E+11,9761.396667
13.525,23584530,3.29061E+12,32887,41054.65052,1.013145557,108717.9833,160416.0626,625890.0685,354482,1115.914286,149613,22900767.53,15401709.52,303983319,100.2236039,870115563.8,1.646713054,950847699.8,352229.6949,156228,40.27322368,16911787.5,1.47911E+11,8746.002
13.125,23570802,3.29061E+12,38513,110591.0243,1.031228342,209728.1902,160274.2223,1207455.656,487166,1357.39726,184770,23882229,16597022.24,303827091,85.29951266,1735625690,0.886788724,1906277895,316724.4602,198180,34.8459414,16910037.5,1.537E+11,9089.278333
10.625,23553821,3.29061E+12,44114,71151.5472,1.019423074,143088.2449,160123.6629,1018318.349,439933,1212.481481,188082,26499459.57,19122238.46,303628911,98.91925509,1231498466,1.440111871,1349195039,335966.7984,196422,35.63080068,16908212.5,1.59429E+11,9429.111667
7.233333333,23530724,3.29061E+12,43277,79204.05118,1.022321911,156169.9612,159958.5164,931240.7432,474916,1362.917197,194380,25681575.02,19856688.83,303432489,94.44512407,1355596867,1.278951273,1580136725,352489.9339,213978,34.8377064,16906187.5,1.71058E+11,10118.058
6.833333333,23515968,3.29061E+12,45111,101643.0697,1.022209487,118687.7042,159798.0118,939487.0739,453773,1320.615385,193114,25517998.11,20998999.95,303218511,103.8223177,969993576.7,1.674343644,1277459300,400821.8509,206016,37.24003205,16904225,1.81944E+11,10763.19833
13.55,23490482,3.23358E+12,47510,75271.51739,1.016060517,136451.9747,159638.5472,902570.351,457316,1351.932886,194866,24372959.73,21689457.57,303012495,109.7760038,652061173.9,1.397584303,1582234331,516365.4041,201438,44.53138052,16902275,1.95991E+11,11595.54
